"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","66,57","66,23","66,77","66,23","481,23K","0,11%"
"28.12.2023","66,50","66,41","66,78","66,41","405,03K","1,17%"
"27.12.2023","65,73","65,71","65,83","65,53","1,21M","0,54%"
"26.12.2023","65,38","65,10","65,52","65,10","388,57K","0,71%"
"22.12.2023","64,92","64,62","65,04","64,62","547,84K","-0,62%"
"21.12.2023","65,32","64,59","65,33","64,59","744,28K","2,15%"
"20.12.2023","63,95","64,73","64,86","63,92","695,13K","-3,62%"
"19.12.2023","66,35","65,94","66,41","65,94","697,00K","0,88%"
"18.12.2023","65,77","65,78","65,85","65,53","755,49K","-0,11%"
"15.12.2023","65,84","66,36","66,41","65,77","689,90K","-0,68%"
"14.12.2023","66,29","65,66","66,33","65,66","2,30M","1,36%"
"13.12.2023","65,40","64,47","65,42","64,13","790,64K","0,80%"
"12.12.2023","64,88","64,58","64,90","64,35","808,04K","0,09%"
"11.12.2023","64,82","64,30","64,83","64,25","577,54K","0,67%"
"08.12.2023","64,39","64,27","64,55","64,13","796,89K","-0,39%"
"07.12.2023","64,64","64,37","64,68","64,31","296,44K","0,48%"
"06.12.2023","64,33","64,66","64,81","64,29","487,65K","-0,03%"
"05.12.2023","64,35","64,23","64,41","64,02","424,67K","-0,63%"
"04.12.2023","64,76","65,06","65,18","64,70","1,43M","-1,28%"
"01.12.2023","65,60","64,88","65,62","64,77","544,29K","0,29%"
"30.11.2023","65,41","65,45","65,57","65,06","633,19K","-0,03%"
"29.11.2023","65,43","65,55","65,80","65,36","447,65K","-0,62%"
"28.11.2023","65,84","65,58","65,92","65,54","594,84K","0,70%"
"27.11.2023","65,38","65,27","65,45","65,19","392,47K","-0,55%"
"24.11.2023","65,74","65,45","65,74","65,20","204,19K","-0,05%"
"22.11.2023","65,77","65,78","65,92","65,50","596,86K","-0,15%"
"21.11.2023","65,87","66,06","66,25","65,76","695,65K","-0,64%"
"20.11.2023","66,29","65,74","66,39","65,74","780,39K","1,21%"
