"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2023","63,75","63,50","63,88","62,17","4,71M","0,39%"
"24.09.2023","63,50","63,78","64,15","62,88","2,41M","-1,43%"
"17.09.2023","64,42","65,13","65,44","63,43","1,65M","-1,63%"
"10.09.2023","65,49","65,47","65,92","65,07","1,70M","0,88%"
"03.09.2023","64,92","66,00","66,24","64,68","1,74M","-2,27%"
"27.08.2023","66,43","65,11","66,80","65,07","3,52M","2,52%"
"20.08.2023","64,80","63,80","65,42","63,76","3,98M","1,14%"
"13.08.2023","64,07","65,67","66,10","63,70","4,56M","-3,45%"
"06.08.2023","66,36","68,41","68,41","66,13","2,70M","-2,66%"
"30.07.2023","68,17","70,13","70,63","67,80","4,03M","-3,28%"
"23.07.2023","70,48","67,49","70,51","67,47","2,44M","4,49%"
"16.07.2023","67,45","68,51","68,89","67,39","1,80M","-2,08%"
"09.07.2023","68,88","65,70","69,37","65,69","5,05M","4,28%"
"02.07.2023","66,05","67,22","67,57","65,14","2,41M","-0,59%"
"25.06.2023","66,44","66,35","66,88","65,80","1,86M","0,97%"
"18.06.2023","65,80","67,88","67,92","65,58","2,21M","-4,58%"
"11.06.2023","68,96","67,24","69,22","67,24","2,46M","2,57%"
"04.06.2023","67,23","66,56","67,56","66,40","2,15M","0,28%"
"28.05.2023","67,04","65,81","67,24","64,26","3,86M","1,42%"
"21.05.2023","66,10","66,38","66,96","64,79","4,35M","-0,02%"
"14.05.2023","66,11","65,94","66,72","65,68","3,40M","1,46%"
"07.05.2023","65,16","67,32","67,32","65,03","1,99M","-2,85%"
"30.04.2023","67,07","66,49","67,10","65,66","4,60M","0,54%"
"23.04.2023","66,71","66,55","66,78","64,93","3,33M","-0,01%"
"16.04.2023","66,72","68,30","68,47","66,38","2,58M","-1,67%"
"09.04.2023","67,85","67,72","68,48","67,25","3,33M","0,10%"
"02.04.2023","67,78","67,76","68,14","67,15","1,34M","-0,13%"
"26.03.2023","67,87","66,32","68,16","65,99","1,72M","1,63%"
"19.03.2023","66,78","64,42","67,74","64,39","3,29M","3,10%"
"12.03.2023","64,77","64,57","65,37","63,43","3,40M","0,25%"
"05.03.2023","64,61","67,84","68,00","64,55","3,49M","-4,76%"
"26.02.2023","67,84","66,01","67,93","65,40","3,60M","3,60%"
"19.02.2023","65,48","67,49","67,81","65,23","2,64M","-3,66%"
"12.02.2023","67,97","69,44","69,84","67,64","3,03M","-1,86%"
"05.02.2023","69,26","69,28","70,75","68,76","4,09M","-1,40%"
"29.01.2023","70,24","71,73","72,25","70,16","4,00M","-3,56%"
"22.01.2023","72,83","71,94","73,09","71,44","5,79M","1,60%"
"15.01.2023","71,68","70,39","71,71","69,89","2,79M","1,31%"
"08.01.2023","70,75","69,67","70,79","69,09","8,17M","2,88%"
"01.01.2023","68,77","65,78","68,78","65,42","2,99M","6,14%"
"25.12.2022","64,79","65,38","66,05","64,42","2,44M","0,43%"
"18.12.2022","64,51","65,39","65,39","64,15","3,00M","-0,66%"
"11.12.2022","64,94","66,41","67,43","64,78","5,49M","-2,55%"
"04.12.2022","66,64","67,11","67,27","65,50","4,03M","-0,36%"
"27.11.2022","66,88","62,79","67,12","62,79","3,84M","5,94%"
"20.11.2022","63,13","62,92","63,49","62,47","1,46M","-0,97%"
"13.11.2022","63,75","63,26","65,63","62,87","3,96M","0,47%"
"06.11.2022","63,45","59,71","63,49","58,85","15,63M","7,07%"
"30.10.2022","59,26","55,22","59,36","55,19","4,46M","6,03%"
