"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2023","114.170","116.565","116.672","111.599","53,09M","-2,06%"
"24.09.2023","116.565","116.009","116.899","113.366","55,71M","0,48%"
"17.09.2023","116.009","118.759","119.616","115.855","54,09M","-2,31%"
"10.09.2023","118.758","115.316","119.780","115.316","59,44M","2,99%"
"03.09.2023","115.313","117.893","118.576","114.839","34,68M","-2,19%"
"27.08.2023","117.893","115.838","118.841","115.742","52,99M","1,77%"
"20.08.2023","115.837","115.404","118.136","114.067","49,58M","0,37%"
"13.08.2023","115.409","118.067","118.082","114.423","68,05M","-2,25%"
"06.08.2023","118.065","119.509","120.104","117.415","54,78M","-1,21%"
"30.07.2023","119.508","120.188","122.619","119.215","59,08M","-0,57%"
"23.07.2023","120.187","120.220","123.010","119.706","51,05M","-0,02%"
"16.07.2023","120.217","117.711","120.373","116.591","46,68M","2,13%"
"09.07.2023","117.711","118.897","119.739","115.704","45,88M","-1,00%"
"02.07.2023","118.898","118.092","120.200","117.096","47,97M","0,69%"
"25.06.2023","118.087","118.977","119.447","116.560","59,06M","-0,75%"
"18.06.2023","118.977","118.757","120.519","118.018","54,11M","0,18%"
"11.06.2023","118.758","117.022","119.686","116.363","68,90M","1,49%"
"04.06.2023","117.019","112.558","117.603","111.736","51,65M","3,96%"
"28.05.2023","112.558","110.906","113.070","108.193","62,58M","1,49%"
"21.05.2023","110.906","110.745","111.706","108.546","62,85M","0,15%"
"14.05.2023","110.745","108.469","111.211","108.085","72,24M","2,10%"
"07.05.2023","108.464","105.161","108.817","105.161","65,06M","3,15%"
"30.04.2023","105.148","104.431","105.306","101.063","55,24M","0,69%"
"23.04.2023","104.432","104.367","104.822","101.975","56,32M","0,06%"
"16.04.2023","104.367","106.279","106.830","103.087","46,55M","-1,80%"
"09.04.2023","106.279","100.822","108.277","100.819","67,90M","5,41%"
"02.04.2023","100.822","101.883","103.056","99.898","47,57M","-1,04%"
"26.03.2023","101.882","98.833","104.085","98.833","65,96M","3,09%"
"19.03.2023","98.829","101.982","102.328","96.997","60,15M","-3,09%"
"12.03.2023","101.982","103.608","104.153","100.692","73,33M","-1,58%"
"05.03.2023","103.618","103.865","106.724","103.170","79,89M","-0,24%"
"26.02.2023","103.866","105.807","106.794","103.105","72,94M","-1,83%"
"19.02.2023","105.798","109.174","109.174","105.360","31,04M","-3,09%"
"12.02.2023","109.177","108.074","110.437","107.267","60,42M","1,02%"
"05.02.2023","108.078","108.518","110.175","107.234","65,72M","-0,41%"
"29.01.2023","108.523","112.319","113.691","108.185","70,47M","-3,38%"
"22.01.2023","112.316","112.041","114.835","111.542","58,20M","0,25%"
"15.01.2023","112.041","110.908","113.306","108.753","72,04M","1,01%"
"08.01.2023","110.916","108.964","113.129","108.134","75,98M","1,79%"
"01.01.2023","108.964","109.734","109.734","103.852","65,19M","-0,70%"
"25.12.2022","109.735","109.699","111.178","107.418","40,96M","0,03%"
"18.12.2022","109.698","102.859","109.994","102.770","77,88M","6,65%"
"11.12.2022","102.856","107.518","107.561","101.632","91,93M","-4,34%"
"04.12.2022","107.520","111.922","112.150","106.906","65,17M","-3,94%"
"27.11.2022","111.924","108.977","113.761","108.378","77,09M","2,70%"
"20.11.2022","108.977","108.868","112.612","107.867","67,51M","0,10%"
"13.11.2022","108.870","112.256","114.322","107.245","75,32M","-3,01%"
"06.11.2022","112.253","118.148","118.240","108.516","101,06M","-5,00%"
"30.10.2022","118.155","114.533","120.039","112.113","71,45M","3,16%"
"23.10.2022","114.539","119.922","119.924","112.577","74,02M","-4,49%"
"16.10.2022","119.929","112.107","120.752","112.090","74,60M","7,01%"
"09.10.2022","112.072","116.377","116.841","111.631","52,25M","-3,70%"
"02.10.2022","116.375","110.048","118.382","110.048","78,75M","5,76%"
"25.09.2022","110.037","111.713","111.713","106.244","72,31M","-1,50%"
"18.09.2022","111.716","109.283","114.392","108.508","69,12M","2,23%"
"11.09.2022","109.280","112.307","114.160","108.489","66,42M","-2,69%"
"04.09.2022","112.300","110.868","112.671","108.619","49,73M","1,30%"
"28.08.2022","110.864","112.296","113.222","108.217","67,69M","-1,28%"
"21.08.2022","112.299","111.487","114.156","109.858","59,67M","0,72%"
"14.08.2022","111.496","112.767","114.375","111.067","66,51M","-1,12%"
"07.08.2022","112.764","106.473","112.764","106.473","71,85M","5,91%"
"31.07.2022","106.472","103.165","107.176","101.694","62,58M","3,21%"
"24.07.2022","103.165","98.926","103.989","98.925","52,09M","4,29%"
"17.07.2022","98.925","96.553","99.724","96.553","54,07M","2,46%"
"10.07.2022","96.551","100.282","100.282","95.267","57,59M","-3,73%"
"03.07.2022","100.289","98.952","101.577","96.499","55,41M","1,35%"
"26.06.2022","98.954","98.673","102.237","97.231","57,04M","0,29%"
"19.06.2022","98.672","99.824","101.069","97.775","56,40M","-1,15%"
"12.06.2022","99.825","105.476","105.478","98.402","60,35M","-5,36%"
"05.06.2022","105.481","111.102","111.935","104.648","52,85M","-5,06%"
"29.05.2022","111.102","111.944","112.709","110.655","51,69M","-0,75%"
"22.05.2022","111.942","108.500","112.441","108.399","56,21M","3,18%"
"15.05.2022","108.488","106.925","109.774","105.760","66,15M","1,46%"
"08.05.2022","106.924","105.109","107.773","102.386","66,49M","1,70%"
"01.05.2022","105.135","107.876","108.382","103.923","64,39M","-2,54%"
"24.04.2022","107.876","111.077","111.819","107.876","59,15M","-2,88%"
"17.04.2022","111.078","116.182","116.191","110.591","40,57M","-4,39%"
"10.04.2022","116.182","118.320","118.615","115.624","43,40M","-1,81%"
"03.04.2022","118.322","121.569","121.628","116.791","56,76M","-2,67%"
"27.03.2022","121.570","119.082","121.579","118.061","57,98M","2,09%"
"20.03.2022","119.081","115.307","119.729","115.208","60,13M","3,27%"
"13.03.2022","115.311","111.716","115.311","107.781","71,30M","3,22%"
"06.03.2022","111.713","114.469","114.627","110.969","69,92M","-2,41%"
