"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2023","444,93","450,82","452,51","438,08","865,55M","-1,17%"
"24.09.2023","450,22","452,72","454,03","444,38","799,45M","-0,67%"
"17.09.2023","453,26","461,44","461,54","451,54","881,06M","-1,88%"
"10.09.2023","461,93","454,97","465,32","451,10","1,07B","1,60%"
"03.09.2023","454,66","458,79","462,18","450,61","686,63M","-0,76%"
"27.08.2023","458,13","452,07","461,31","452,07","853,10M","1,49%"
"20.08.2023","451,39","448,54","458,02","448,42","624,46M","0,66%"
"13.08.2023","448,44","459,04","460,51","445,50","709,74M","-2,34%"
"06.08.2023","459,17","459,25","465,76","455,94","878,94M","-0,02%"
"30.07.2023","459,28","470,87","472,27","455,60","874,09M","-2,44%"
"23.07.2023","470,78","465,00","472,69","462,29","826,48M","1,16%"
"16.07.2023","465,40","460,20","465,40","457,42","717,07M","0,99%"
"09.07.2023","460,83","447,30","462,61","446,05","768,20M","2,94%"
"02.07.2023","447,65","461,89","463,94","444,91","758,16M","-3,09%"
"25.06.2023","461,93","453,15","462,77","450,16","835,25M","1,94%"
"18.06.2023","453,14","466,43","466,43","450,94","760,74M","-2,93%"
"11.06.2023","466,80","460,29","468,25","460,29","1,17B","1,48%"
"04.06.2023","460,01","461,80","463,21","458,58","797,46M","-0,46%"
"28.05.2023","462,15","461,60","462,72","451,25","1,19B","0,16%"
"21.05.2023","461,41","468,65","469,84","455,85","948,67M","-1,59%"
"14.05.2023","468,85","465,39","470,45","462,21","876,67M","0,72%"
"07.05.2023","465,49","465,50","467,30","461,20","877,01M","0,04%"
"30.04.2023","465,31","467,00","467,83","458,00","1,04B","-0,29%"
"23.04.2023","466,64","468,33","469,64","461,21","975,19M","-0,50%"
"16.04.2023","469,00","467,33","469,81","465,82","925,63M","0,45%"
"09.04.2023","466,91","459,40","468,05","459,40","911,47M","1,74%"
"02.04.2023","458,94","457,83","460,90","455,56","854,24M","0,24%"
"26.03.2023","457,84","440,82","458,71","440,82","970,85M","4,03%"
"19.03.2023","440,11","435,05","448,88","427,77","1,26B","0,87%"
"12.03.2023","436,31","453,38","453,38","433,94","1,83B","-3,85%"
"05.03.2023","453,76","465,13","465,95","451,20","984,27M","-2,26%"
"26.02.2023","464,26","458,44","464,57","454,60","1,08B","1,43%"
"19.02.2023","457,70","465,15","465,76","457,42","1,01B","-1,42%"
"12.02.2023","464,30","458,23","467,86","458,23","1,01B","1,40%"
"05.02.2023","457,89","460,15","464,81","455,22","1,07B","-0,63%"
"29.01.2023","460,77","453,96","460,77","449,73","1,21B","1,23%"
"22.01.2023","455,17","451,86","455,98","449,78","875,93M","0,67%"
"15.01.2023","452,12","453,20","459,30","449,93","990,24M","-0,09%"
"08.01.2023","452,54","445,39","453,24","444,50","1,03B","1,83%"
"01.01.2023","444,42","425,90","444,42","425,90","828,84M","4,60%"
"25.12.2022","424,89","428,28","430,51","424,84","334,68M","-0,60%"
"18.12.2022","427,45","425,38","433,51","421,56","677,83M","0,64%"
"11.12.2022","424,74","437,88","447,11","423,41","1,19B","-3,28%"
"04.12.2022","439,13","442,94","443,36","434,12","836,75M","-0,94%"
"27.11.2022","443,29","439,54","445,05","436,50","1,11B","0,58%"
"20.11.2022","440,73","432,85","441,62","431,90","779,96M","1,71%"
"13.11.2022","433,33","432,68","436,41","425,70","980,49M","0,25%"
"06.11.2022","432,26","416,25","435,22","414,68","1,11B","3,66%"
"30.10.2022","416,98","411,30","419,44","405,95","1,03B","1,51%"
"23.10.2022","410,76","398,46","411,41","397,28","1,01B","3,65%"
"16.10.2022","396,29","391,80","404,08","390,43","1,01B","1,27%"
"09.10.2022","391,31","391,02","397,95","379,72","1,06B","-0,09%"
"02.10.2022","391,67","386,43","403,03","381,54","1,06B","0,98%"
"25.09.2022","387,85","388,64","393,70","380,04","1,32B","-0,65%"
"18.09.2022","390,40","408,35","411,77","388,40","1,03B","-4,37%"
"11.09.2022","408,24","420,36","430,47","407,98","1,37B","-2,89%"
"04.09.2022","420,37","415,20","421,64","408,10","964,40M","1,06%"
"28.08.2022","415,97","424,95","426,91","407,09","919,78M","-2,38%"
"21.08.2022","426,09","437,08","437,08","425,56","755,19M","-2,58%"
"14.08.2022","437,36","441,65","444,46","437,07","728,27M","-0,80%"
"07.08.2022","440,87","437,00","442,26","433,87","755,21M","1,18%"
"31.07.2022","435,72","437,63","441,81","433,52","878,05M","-0,59%"
"24.07.2022","438,29","425,04","439,01","423,27","995,50M","2,96%"
"17.07.2022","425,71","414,73","427,85","414,61","1,02B","2,88%"
"10.07.2022","413,78","415,01","417,14","404,78","1,02B","-0,80%"
"03.07.2022","417,12","408,93","417,50","400,50","996,20M","2,45%"
"26.06.2022","407,13","413,52","419,20","402,60","956,94M","-1,40%"
"19.06.2022","412,93","403,38","413,21","400,03","957,22M","2,40%"
"12.06.2022","403,25","420,75","420,75","401,92","1,42B","-4,60%"
"05.06.2022","422,71","440,98","445,72","422,01","936,08M","-3,95%"
"29.05.2022","440,09","444,72","447,79","438,54","916,06M","-0,87%"
"22.05.2022","443,93","432,85","444,07","430,81","953,97M","2,98%"
"15.05.2022","431,10","432,45","441,46","423,46","982,75M","-0,55%"
"08.05.2022","433,48","428,55","433,48","417,27","1,11B","0,83%"
"01.05.2022","429,91","448,26","449,48","426,86","1,02B","-4,55%"
"24.04.2022","450,39","449,64","453,42","436,75","1,10B","-0,64%"
"17.04.2022","453,31","457,90","464,11","453,12","813,82M","-1,42%"
"10.04.2022","459,82","459,28","461,06","451,65","785,48M","-0,25%"
"03.04.2022","460,97","459,36","464,09","452,64","1,17B","0,57%"
"27.03.2022","458,34","453,59","463,79","453,59","1,21B","1,06%"
"20.03.2022","453,55","454,50","459,98","451,96","1,05B","-0,23%"
"13.03.2022","454,60","432,02","454,64","426,81","1,64B","5,43%"
"06.03.2022","431,17","418,67","438,84","405,61","1,90B","2,23%"
"27.02.2022","421,78","450,90","454,12","421,78","1,81B","-7,00%"
"20.02.2022","453,53","461,88","463,62","434,05","1,41B","-1,58%"
"13.02.2022","460,81","466,47","470,53","455,50","1,06B","-1,87%"
"06.02.2022","469,57","463,98","475,86","461,14","1,12B","1,61%"
"30.01.2022","462,15","468,16","478,89","460,97","1,03B","-0,73%"
"23.01.2022","465,55","472,90","473,54","454,52","1,21B","-1,87%"
"16.01.2022","474,44","482,07","485,18","470,96","1,01B","-1,40%"
"09.01.2022","481,16","487,58","488,21","477,90","965,50M","-1,05%"
