valor,data
,2023-12-31
,2024-01-01
132.69663,2024-01-02
132.83395,2024-01-03
131.22591,2024-01-04
132.02292,2024-01-05
,2024-01-06
,2024-01-07
132.42654,2024-01-08
131.44659,2024-01-09
130.84109,2024-01-10
130.64875,2024-01-11
130.98767,2024-01-12
,2024-01-13
,2024-01-14
131.52091,2024-01-15
129.29404,2024-01-16
128.52383,2024-01-17
127.31574,2024-01-18
127.63565,2024-01-19
,2024-01-20
,2024-01-21
126.60155,2024-01-22
128.26252,2024-01-23
127.8157,2024-01-24
128.16873,2024-01-25
128.96732,2024-01-26
,2024-01-27
,2024-01-28
128.50266,2024-01-29
127.40181,2024-01-30
127.75228,2024-01-31
128.48102,2024-02-01
127.18225,2024-02-02
,2024-02-03
,2024-02-04
127.59349,2024-02-05
130.41631,2024-02-06
129.9499,2024-02-07
128.21692,2024-02-08
128.0257,2024-02-09
,2024-02-10
,2024-02-11
,2024-02-12
,2024-02-13
127.01829,2024-02-14
127.80413,2024-02-15
128.72588,2024-02-16
,2024-02-17
,2024-02-18
129.03574,2024-02-19
129.91611,2024-02-20
130.03158,2024-02-21
130.24055,2024-02-22
129.41873,2024-02-23
,2024-02-24
,2024-02-25
129.60905,2024-02-26
131.68937,2024-02-27
130.15543,2024-02-28
129.02002,2024-02-29
129.18037,2024-03-01
,2024-03-02
,2024-03-03
128.34054,2024-03-04
128.09811,2024-03-05
128.89023,2024-03-06
128.33976,2024-03-07
127.07079,2024-03-08
,2024-03-09
,2024-03-10
126.12356,2024-03-11
127.66784,2024-03-12
128.00605,2024-03-13
127.68997,2024-03-14
126.74181,2024-03-15
,2024-03-16
,2024-03-17
126.95418,2024-03-18
127.52885,2024-03-19
129.12483,2024-03-20
128.15857,2024-03-21
127.0271,2024-03-22
,2024-03-23
,2024-03-24
126.93147,2024-03-25
126.86302,2024-03-26
127.69062,2024-03-27
128.1061,2024-03-28
,2024-03-29
,2024-03-30
,2024-03-31
126.99045,2024-04-01
127.54852,2024-04-02
127.31839,2024-04-03
127.42753,2024-04-04
126.79541,2024-04-05
,2024-04-06
,2024-04-07
128.85716,2024-04-08
129.89037,2024-04-09
128.05374,2024-04-10
127.39635,2024-04-11
125.94609,2024-04-12
,2024-04-13
,2024-04-14
125.33389,2024-04-15
124.38862,2024-04-16
124.17115,2024-04-17
124.19618,2024-04-18
125.1243,2024-04-19
,2024-04-20
,2024-04-21
125.57316,2024-04-22
125.14807,2024-04-23
124.74069,2024-04-24
124.64558,2024-04-25
126.52627,2024-04-26
,2024-04-27
,2024-04-28
127.35179,2024-04-29
125.92419,2024-04-30
,2024-05-01
127.12225,2024-05-02
128.50867,2024-05-03
,2024-05-04
,2024-05-05
128.46569,2024-05-06
129.21048,2024-05-07
129.48089,2024-05-08
128.18834,2024-05-09
127.59957,2024-05-10
,2024-05-11
,2024-05-12
128.15479,2024-05-13
128.51549,2024-05-14
128.02759,2024-05-15
128.28362,2024-05-16
128.15071,2024-05-17
,2024-05-18
,2024-05-19
127.75092,2024-05-20
127.41155,2024-05-21
125.65003,2024-05-22
124.7294,2024-05-23
124.30557,2024-05-24
,2024-05-25
,2024-05-26
124.49568,2024-05-27
123.77954,2024-05-28
122.70728,2024-05-29
,2024-05-30
122.09809,2024-05-31
