valor,data
114.85074,2021-03-15
114.01878,2021-03-16
116.54944,2021-03-17
114.83543,2021-03-18
116.22158,2021-03-19
,2021-03-20
,2021-03-21
114.97886,2021-03-22
113.2618,2021-03-23
112.06419,2021-03-24
113.7499,2021-03-25
114.78062,2021-03-26
,2021-03-27
,2021-03-28
115.41872,2021-03-29
116.84967,2021-03-30
116.63372,2021-03-31
115.25331,2021-04-01
,2021-04-02
,2021-04-03
,2021-04-04
117.51844,2021-04-05
117.49887,2021-04-06
117.62358,2021-04-07
118.31323,2021-04-08
117.6699,2021-04-09
,2021-04-10
,2021-04-11
118.81174,2021-04-12
119.29713,2021-04-13
120.29468,2021-04-14
120.70067,2021-04-15
121.11393,2021-04-16
,2021-04-17
,2021-04-18
120.93378,2021-04-19
120.06199,2021-04-20
,2021-04-21
119.37148,2021-04-22
120.53006,2021-04-23
,2021-04-24
,2021-04-25
120.59461,2021-04-26
119.38837,2021-04-27
121.05252,2021-04-28
120.06575,2021-04-29
118.89384,2021-04-30
,2021-05-01
,2021-05-02
119.20948,2021-05-03
117.712,2021-05-04
119.56444,2021-05-05
119.92061,2021-05-06
122.03811,2021-05-07
,2021-05-08
,2021-05-09
121.90903,2021-05-10
122.96401,2021-05-11
119.71003,2021-05-12
120.70591,2021-05-13
121.88082,2021-05-14
,2021-05-15
,2021-05-16
122.93787,2021-05-17
122.97996,2021-05-18
122.6363,2021-05-19
122.70079,2021-05-20
122.59247,2021-05-21
,2021-05-22
,2021-05-23
124.03162,2021-05-24
122.98771,2021-05-25
123.98917,2021-05-26
124.36657,2021-05-27
125.56137,2021-05-28
,2021-05-29
,2021-05-30
126.21573,2021-05-31
128.26705,2021-06-01
129.60144,2021-06-02
,2021-06-03
130.12578,2021-06-04
,2021-06-05
,2021-06-06
130.77627,2021-06-07
129.78711,2021-06-08
129.9068,2021-06-09
130.07617,2021-06-10
129.44103,2021-06-11
,2021-06-12
,2021-06-13
130.20796,2021-06-14
130.09108,2021-06-15
129.25949,2021-06-16
128.05722,2021-06-17
128.40535,2021-06-18
,2021-06-19
,2021-06-20
129.26496,2021-06-21
128.76745,2021-06-22
128.42798,2021-06-23
129.51362,2021-06-24
127.25561,2021-06-25
,2021-06-26
,2021-06-27
127.42917,2021-06-28
127.32744,2021-06-29
126.80166,2021-06-30
125.66619,2021-07-01
127.62165,2021-07-02
,2021-07-03
,2021-07-04
126.92005,2021-07-05
125.09488,2021-07-06
127.01871,2021-07-07
125.42777,2021-07-08
,2021-07-09
,2021-07-10
,2021-07-11
127.59383,2021-07-12
128.16774,2021-07-13
128.40651,2021-07-14
127.46788,2021-07-15
125.96026,2021-07-16
,2021-07-17
,2021-07-18
124.39457,2021-07-19
125.40136,2021-07-20
125.92925,2021-07-21
126.14666,2021-07-22
125.05278,2021-07-23
,2021-07-24
,2021-07-25
126.00386,2021-07-26
124.61203,2021-07-27
126.28559,2021-07-28
125.67533,2021-07-29
121.80079,2021-07-30
,2021-07-31
,2021-08-01
122.51574,2021-08-02
123.57656,2021-08-03
121.80121,2021-08-04
121.63292,2021-08-05
122.81036,2021-08-06
,2021-08-07
,2021-08-08
123.01938,2021-08-09
122.20247,2021-08-10
122.05634,2021-08-11
120.70098,2021-08-12
121.19375,2021-08-13
,2021-08-14
,2021-08-15
119.18003,2021-08-16
117.90381,2021-08-17
116.64262,2021-08-18
117.16469,2021-08-19
118.05277,2021-08-20
,2021-08-21
,2021-08-22
117.47167,2021-08-23
120.21075,2021-08-24
120.81771,2021-08-25
118.72397,2021-08-26
120.6776,2021-08-27
,2021-08-28
,2021-08-29
119.73996,2021-08-30
118.78103,2021-08-31
119.3956,2021-09-01
116.67708,2021-09-02
116.93324,2021-09-03
,2021-09-04
,2021-09-05
117.86863,2021-09-06
,2021-09-07
113.41284,2021-09-08
115.36086,2021-09-09
114.28593,2021-09-10
,2021-09-11
,2021-09-12
116.40372,2021-09-13
116.18055,2021-09-14
115.06254,2021-09-15
113.79428,2021-09-16
111.43937,2021-09-17
,2021-09-18
,2021-09-19
108.84374,2021-09-20
110.24973,2021-09-21
112.28228,2021-09-22
114.06436,2021-09-23
113.28267,2021-09-24
,2021-09-25
,2021-09-26
113.58301,2021-09-27
110.12385,2021-09-28
111.10683,2021-09-29
110.9791,2021-09-30
112.89964,2021-10-01
,2021-10-02
,2021-10-03
110.39309,2021-10-04
110.45764,2021-10-05
110.55957,2021-10-06
110.58543,2021-10-07
112.8332,2021-10-08
,2021-10-09
,2021-10-10
112.18048,2021-10-11
,2021-10-12
113.45592,2021-10-13
113.18548,2021-10-14
114.64799,2021-10-15
,2021-10-16
,2021-10-17
114.42818,2021-10-18
110.67276,2021-10-19
110.78643,2021-10-20
107.73501,2021-10-21
106.29618,2021-10-22
,2021-10-23
,2021-10-24
108.71455,2021-10-25
106.41953,2021-10-26
106.3631,2021-10-27
105.70496,2021-10-28
103.50071,2021-10-29
,2021-10-30
,2021-10-31
105.55086,2021-11-01
,2021-11-02
