valor,data
,2010-01-01
,2010-01-02
,2010-01-03
70.04508,2010-01-04
70.23982,2010-01-05
70.72934,2010-01-06
70.45112,2010-01-07
70.2627,2010-01-08
,2010-01-09
,2010-01-10
70.43349,2010-01-11
70.07578,2010-01-12
70.38547,2010-01-13
69.80142,2010-01-14
68.9783,2010-01-15
,2010-01-16
,2010-01-17
69.40093,2010-01-18
69.90859,2010-01-19
68.20007,2010-01-20
66.27014,2010-01-21
66.22004,2010-01-22
,2010-01-23
,2010-01-24
,2010-01-25
65.52373,2010-01-26
65.06979,2010-01-27
65.58781,2010-01-28
65.40177,2010-01-29
,2010-01-30
,2010-01-31
66.57174,2010-02-01
67.16321,2010-02-02
67.10856,2010-02-03
63.93401,2010-02-04
62.7627,2010-02-05
,2010-02-06
,2010-02-07
63.15309,2010-02-08
64.71817,2010-02-09
65.05142,2010-02-10
66.12894,2010-02-11
65.85497,2010-02-12
,2010-02-13
,2010-02-14
,2010-02-15
,2010-02-16
67.28457,2010-02-17
67.83608,2010-02-18
67.59743,2010-02-19
,2010-02-20
,2010-02-21
67.18416,2010-02-22
66.10833,2010-02-23
65.79477,2010-02-24
66.12104,2010-02-25
66.50327,2010-02-26
,2010-02-27
,2010-02-28
67.22793,2010-03-01
67.77916,2010-03-02
67.64134,2010-03-03
67.81471,2010-03-04
68.8465,2010-03-05
,2010-03-06
,2010-03-07
68.57547,2010-03-08
69.57638,2010-03-09
69.97928,2010-03-10
69.88461,2010-03-11
69.34138,2010-03-12
,2010-03-13
,2010-03-14
69.02375,2010-03-15
69.94221,2010-03-16
69.72324,2010-03-17
69.69733,2010-03-18
68.82898,2010-03-19
,2010-03-20
,2010-03-21
69.04173,2010-03-22
69.38672,2010-03-23
68.9134,2010-03-24
68.44166,2010-03-25
68.68266,2010-03-26
,2010-03-27
,2010-03-28
69.93912,2010-03-29
69.95958,2010-03-30
70.37154,2010-03-31
71.13634,2010-04-01
,2010-04-02
,2010-04-03
,2010-04-04
71.28968,2010-04-05
71.09565,2010-04-06
70.79294,2010-04-07
71.78478,2010-04-08
