IBOVESPA - 2024
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;128.481,02;129.180,37;126.990,45;;;;;;;;
2;132.696,63;127.182,25;;127.548,52;127.122,25;;;;;;;
3;132.833,95;;;127.318,39;128.508,67;122.031,58;;;;;;
4;131.225,91;;128.340,54;127.427,53;;121.802,06;;;;;;
5;132.022,92;127.593,49;128.098,11;126.795,41;;121.407,33;;;;;;
6;;130.416,31;128.890,23;;128.465,69;122.898,80;;;;;;
7;;129.949,90;128.339,76;;129.210,48;120.767,19;;;;;;
8;132.426,54;128.216,92;127.070,79;128.857,16;129.480,89;;;;;;;
9;131.446,59;128.025,70;;129.890,37;128.188,34;;;;;;;
10;130.841,09;;;128.053,74;127.599,57;120.759,51;;;;;;
11;130.648,75;;126.123,56;127.396,35;;121.635,06;;;;;;
12;130.987,67;;127.667,84;125.946,09;;119.936,02;;;;;;
13;;;128.006,05;;128.154,79;119.567,53;;;;;;
14;;127.018,29;127.689,97;;128.515,49;119.662,38;;;;;;
15;131.520,91;127.804,13;126.741,81;125.333,89;128.027,59;;;;;;;
16;129.294,04;128.725,88;;124.388,62;128.283,62;;;;;;;
17;128.523,83;;;124.171,15;128.150,71;119.137,86;;;;;;
18;127.315,74;;126.954,18;124.196,18;;119.630,44;;;;;;
19;127.635,65;129.035,74;127.528,85;125.124,30;;120.261,34;;;;;;
20;;129.916,11;129.124,83;;127.750,92;120.445,91;;;;;;
21;;130.031,58;128.158,57;;127.411,55;121.341,13;;;;;;
22;126.601,55;130.240,55;127.027,10;125.573,16;125.650,03;;;;;;;
23;128.262,52;129.418,73;;125.148,07;124.729,40;;;;;;;
24;127.815,70;;;124.740,69;124.305,57;;;;;;;
25;128.168,73;;126.931,47;124.645,58;;;;;;;;
26;128.967,32;129.609,05;126.863,02;126.526,27;;;;;;;;
27;;131.689,37;127.690,62;;124.495,68;;;;;;;
28;;130.155,43;128.106,10;;123.779,54;;;;;;;
29;128.502,66;129.020,02;;127.351,79;122.707,28;;;;;;;
30;127.401,81;;;125.924,19;;;;;;;;
31;127.752,28;;;;122.098,09;;;;;;;
MÍNIMO;126.601,55;127.018,29;126.123,56;124.171,15;122.098,09;119.137,86;;;;;;
MÍNIMO;132.833,95;131.689,37;129.180,37;129.890,37;129.480,89;122.898,80;;;;;;
